target,date,oifits_h,oifits_k,teff,logg,feh,mass,theta_init,theta_CLV_Stagger,theta_CLV_Stagger_err,v2_0_CLV_Stagger,v2_0_CLV_Stagger_err,chi2_red_CLV_Stagger,theta_CLV_Kurucz,theta_CLV_Kurucz_err,v2_0_CLV_Kurucz,v2_0_CLV_Kurucz_err,chi2_red_CLV_Kurucz,theta_CLV_MPS1,theta_CLV_MPS1_err,v2_0_CLV_MPS1,v2_0_CLV_MPS1_err,chi2_red_CLV_MPS1,theta_CLV_MPS2,theta_CLV_MPS2_err,v2_0_CLV_MPS2,v2_0_CLV_MPS2_err,chi2_red_CLV_MPS2
ups_Aur,2025Aug27,MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,3912.0,1.16,-0.23,1.66,4.0,4.318357791806234,0.006811715965234555,1.0677992879696254,0.008688729799295691,2.191077718806446,4.313643139538183,0.005708641433818773,1.0636685025007697,0.00991434041798267,2.433446161738289,4.32589495903168,0.007001232859406681,1.0725022409292804,0.010676615970274361,2.336597136977833,4.325857182715984,0.006241760732689006,1.0704606358070172,0.007943514551559616,2.3326281961944835
sig_Per,2025Aug27,MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,4159.0,1.6,-0.23,1.32,2.5,3.1473562381192757,0.0029880155841157663,1.1404035672444528,0.005744189610820238,1.6247299845235188,3.143624910341246,0.0033589273286407373,1.1336286685240198,0.005051273069060502,1.800776972225594,3.145199997180762,0.003929146516651771,1.136900903605011,0.005285910471817923,1.7058373295161697,3.1455841493467442,0.003884149915905022,1.1357515755502965,0.005672838267882452,1.7122458256818827
del_And,2025Sep07,MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4347.0,2.04,0.21,1.3,3.5,4.160140416554807,0.003091446869877945,1.0210077609723989,0.005897362761158043,2.3958993009792033,4.177983174328747,0.0033296412585239743,1.042790995574567,0.006830658667266398,2.3612577798594008,4.176847308100983,0.0032047016517018356,1.0404196193937774,0.0055891705409838455,2.323465604974576,4.176998039889492,0.002904838075551197,1.0426781844699635,0.007928928171399674,2.3280944779927695
phi02_Ori,2025Sep07,MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4823.0,2.61,-0.54,1.07,2.5,2.226854507226646,0.001608102685172419,0.9465702293834976,0.008640341904177062,2.6323759147228425,2.2320118996029636,0.0025771917285477564,0.946863568132121,0.014367228037025892,2.6308928073672986,2.2299050792648125,0.002479590573001511,0.9492613544043197,0.011146310630736567,2.5605434870350265,2.2302777172849764,0.0018048013397171658,0.9505219100998514,0.007947026114986266,2.5492339562134956
eps_Tau,2025Sep07,MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4921.0,2.47,0.14,2.458,2.5,2.5729689736237065,0.0026997734790121797,1.0598611057697434,0.00980213362094351,3.599401318125833,2.579659401621411,0.003847656849612191,1.065403874474689,0.009371558823689674,3.6867248057963664,2.5807979126101968,0.002904017762877631,1.065433053528972,0.00967176032078143,3.4107313151271548,2.58006883487093,0.0021812686015740823,1.0657967626470868,0.0077671837138874045,3.4257104527194646
gam_Tau,2025Sep07,MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,5124.0,2.63,0.12,2.7,2.5,2.390177026894932,0.0024472672920632377,1.024283000152391,0.007225453774612589,2.993530889050467,2.397366403410885,0.0025466307407573385,1.032046096298699,0.006756055907081171,3.1314327814235647,2.3920541781128533,0.0021357983312075834,1.0216091586004525,0.006520060311764886,3.0282913039317294,2.392584562024558,0.002702788880456941,1.027076082911397,0.00682199830801411,3.042065247057193
eps_Gem,2025Sep09,MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4315.0,0.76,0.11,5.29,4.5,4.782690544174421,0.0031601586297589357,1.0721474583719437,0.0072821829783128456,2.363356553451642,4.780451595080317,0.00386925522113879,1.0671749614809993,0.011051882754588127,2.5352450839723195,4.780756652265266,0.004332000706779748,1.067629810165489,0.00936444795598912,2.485665793481955,4.780611356936964,0.004143228504015273,1.0653827210661575,0.008280201628383832,2.4920925341972024
iot_Gem,2025Sep09,MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4779.0,2.4,-0.1,1.89,2.5,2.479109351843028,0.0006479881120811104,1.1039214237056,0.00378818516859758,0.5369758676657173,2.4900039616431426,0.0009544380911346018,1.1100247778346128,0.003450500727667838,0.5597157074925078,2.486519949143659,0.0007785658992216504,1.1080967459106983,0.00358088228730713,0.5490109113232965,2.4870753736161433,0.0007299928929211941,1.1074538805190297,0.0036111514683989654,0.5501122750966241
V424_Lac,2025Jul25,MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4013.0,0.32,-0.02,6.8,4.0,4.070988052680589,0.004528540610331255,0.9319542616362704,0.006815249438728022,1.2058121515943714,4.0717897877963125,0.003914615154510415,0.9309141490790827,0.008103374240847616,1.2688175289774106,4.077331989358035,0.004473507821872502,0.933282141321391,0.006119855239661909,1.264019465760043,4.077121586587114,0.0033698524495133775,0.9338622426952027,0.006120727927891312,1.262371501615413
zet_Cep,2025Jul20,MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,4151.0,0.77,0.07,10.1,5.0,5.260971287642068,0.005756948719659594,1.0145898376222315,0.0150932062886725,7.080682769409502,5.258401203256845,0.008444123958252447,1.0149977049168855,0.01381384685817899,7.3975379836125255,5.261052655094694,0.008285379955012662,1.014111302472413,0.011548887617653159,7.2621200873035745,5.2592471194666,0.007354286503058027,1.013065738472187,0.011519746359064498,7.2723884119662205
