oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,del_And,2025-09-07,MIRCX+MYSTIC,4347.000,2.040,0.210,1.061,4.163,0.002,2.558,0.896,4.034,0.024,4.068,0.011,6.544,1.039,4.176,0.005,0.282,0.020,0.180,0.010,1.905,1.040,4.131,0.009,0.283,0.090,1.625,0.475,0.823,0.168,0.176,0.028,1.357,1.037,4.136,0.005,0.349,0.027,0.224,0.009,1.636,1.042,4.145,0.008,0.013,0.088,0.227,0.039,0.524,0.144,0.031,0.066,1.998
MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,phi02_Ori,2025-09-07,MIRCX+MYSTIC,4823.000,2.610,-0.540,0.974,2.225,0.002,2.480,0.904,2.159,0.013,2.159,0.002,9.152,0.987,2.260,0.007,0.354,0.028,0.229,0.019,1.860,0.986,2.322,1.018,-0.399,1.047,-0.019,4.023,0.208,7.302,1.024,7.631,457.584,0.985,2.230,0.009,0.404,0.033,0.259,0.028,1.663,0.985,2.277,0.015,0.206,0.053,-0.028,0.046,0.529,0.130,0.678,0.019,1.651
MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,eps_Tau,2025-09-07,MIRCX+MYSTIC,4921.000,2.470,0.140,1.081,2.576,0.004,3.839,0.977,2.480,0.007,2.500,0.003,7.318,1.106,2.608,0.009,0.359,0.019,0.214,0.020,2.158,1.087,2.597,0.064,0.109,0.242,0.000,1.085,1.487,6.991,0.605,1.584,596.356,1.098,2.576,0.008,0.423,0.033,0.253,0.029,1.931,1.115,2.624,0.009,0.108,0.031,0.104,0.038,0.666,0.047,0.430,0.075,1.207
MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,gam_Tau,2025-09-07,MIRCX+MYSTIC,5124.000,2.630,0.120,1.042,2.393,0.002,1.747,0.953,2.314,0.007,2.320,0.003,8.087,1.048,2.411,0.006,0.345,0.014,0.187,0.015,1.696,1.058,2.406,0.972,-0.043,0.567,-1.354,10.748,1.177,13.300,0.936,7.522,87.754,1.044,2.381,0.006,0.403,0.020,0.214,0.019,1.890,1.058,2.437,0.005,0.129,0.020,0.017,0.045,0.667,0.025,0.586,0.070,1.610
MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,eps_Gem,2025-09-09,MIRCX+MYSTIC,4315.000,0.760,0.110,1.101,4.749,0.004,2.122,0.891,4.626,0.025,4.667,0.010,7.282,1.095,4.796,0.006,0.326,0.015,0.199,0.011,1.892,1.098,4.762,0.007,0.242,0.031,0.957,0.327,1.120,0.122,0.275,0.064,1.759,1.097,4.754,0.006,0.427,0.013,0.264,0.015,1.752,1.104,4.769,0.007,0.015,0.059,0.244,0.032,0.588,0.081,0.070,0.051,1.594
MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,iot_Gem,2025-09-09,MIRCX+MYSTIC,4779.000,2.400,-0.100,1.105,2.475,0.002,0.989,1.022,2.397,0.010,2.398,0.002,2.378,1.100,2.479,0.005,0.267,0.015,0.153,0.009,0.618,1.095,2.489,0.721,-0.069,0.655,0.049,0.403,1.228,2.229,1.680,12.605,6.416,1.095,2.449,0.005,0.319,0.018,0.166,0.015,0.615,1.100,2.489,0.005,0.126,0.032,-0.076,0.029,0.473,0.053,0.578,0.059,0.555
MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,V424_Lac,2025-07-25,MIRCX+MYSTIC,4013.000,0.320,-0.020,0.949,4.050,0.005,1.083,0.856,3.938,0.028,3.955,0.008,4.640,0.931,4.061,0.008,0.329,0.021,0.173,0.017,1.019,0.928,4.065,0.056,0.000,0.343,0.000,0.276,1.305,2.969,1.083,2.764,238.617,0.927,4.021,0.007,0.418,0.032,0.213,0.021,0.887,0.935,4.056,0.012,0.051,0.053,0.084,0.047,0.571,0.084,0.283,0.085,0.807
MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,zet_Cep,2025-07-20,MIRCX+MYSTIC,4151.000,0.770,0.070,1.060,5.239,0.010,7.955,0.859,5.077,0.011,5.134,0.009,9.350,1.023,5.249,0.011,0.321,0.042,0.157,0.032,3.644,1.032,5.264,0.018,-2.415,0.000,0.152,0.015,0.388,0.000,1.118,0.156,38.101,1.022,5.206,0.009,0.402,0.032,0.216,0.032,5.817,1.030,5.235,0.017,0.170,0.191,0.087,0.056,0.410,0.246,0.239,0.105,6.827
MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,ups_Per,2025-07-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.133,3.621,0.003,2.346,0.975,3.479,0.010,3.535,0.010,8.413,1.109,3.631,0.004,0.323,0.019,0.173,0.010,2.003,1.109,3.693,0.024,0.052,0.006,0.071,0.016,4.897,0.612,2.840,0.737,1.236,1.111,3.595,0.004,0.397,0.018,0.213,0.015,2.901,1.113,3.610,0.007,-0.044,0.059,0.188,0.023,0.695,0.056,0.092,0.055,1.599
MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,ups_Per,2025-07-22,MIRCX+MYSTIC,4374.000,2.060,0.050,0.929,3.614,0.003,2.846,0.833,3.474,0.013,3.519,0.007,7.744,0.908,3.614,0.008,0.313,0.020,0.156,0.018,3.164,0.907,3.667,0.047,0.078,0.031,0.053,0.066,3.701,1.386,3.290,1.759,3.059,0.905,3.579,0.009,0.384,0.037,0.191,0.024,2.986,0.912,3.603,0.013,0.104,0.086,0.121,0.036,0.467,0.114,0.191,0.068,2.367
