oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,eps_Tau,2025-09-07,MIRCX+MYSTIC,4921.000,2.470,0.140,1.076,2.574,0.002,3.903,0.966,2.491,0.006,2.498,0.003,8.564,1.091,2.597,0.008,0.321,0.026,0.195,0.019,2.606,1.101,2.597,0.023,0.168,0.161,0.000,1.200,1.437,0.683,0.415,0.450,351.637,1.085,2.568,0.007,0.384,0.026,0.230,0.024,2.093,1.109,2.615,0.007,0.079,0.032,0.193,0.045,0.658,0.039,0.249,0.073,1.523
MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,gam_Tau,2025-09-07,MIRCX+MYSTIC,5124.000,2.630,0.120,1.037,2.391,0.002,3.665,0.945,2.308,0.010,2.319,0.002,5.896,1.040,2.402,0.005,0.298,0.014,0.168,0.009,1.859,1.031,2.396,0.966,-0.021,1.367,-0.244,492.303,1.465,35.698,0.432,2.768,307.215,1.036,2.373,0.006,0.351,0.015,0.186,0.022,1.345,1.054,2.428,0.006,0.069,0.012,0.029,0.053,0.688,0.025,0.504,0.085,1.629
MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,eps_Gem,2025-09-09,MIRCX+MYSTIC,4315.000,0.760,0.110,1.088,4.749,0.006,1.994,0.892,4.618,0.012,4.675,0.012,7.591,1.084,4.793,0.008,0.319,0.017,0.186,0.013,2.381,1.093,4.775,0.013,0.152,0.041,0.719,0.392,1.687,0.338,0.353,0.169,1.673,1.074,4.746,0.008,0.415,0.019,0.240,0.011,1.855,1.096,4.771,0.005,-0.077,0.048,0.237,0.038,0.693,0.049,0.060,0.061,1.701
MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,iot_Gem,2025-09-09,MIRCX+MYSTIC,4779.000,2.400,-0.100,1.095,2.474,0.003,0.975,1.004,2.393,0.012,2.396,0.003,3.661,1.089,2.479,0.005,0.256,0.019,0.153,0.012,0.691,1.080,2.488,0.875,-0.024,0.577,-0.025,0.890,2.172,5.134,2.018,5.707,209.852,1.086,2.450,0.005,0.308,0.019,0.169,0.016,0.601,1.087,2.488,0.006,0.118,0.032,-0.076,0.030,0.452,0.047,0.557,0.061,0.464
MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,V424_Lac,2025-07-25,MIRCX+MYSTIC,4013.000,0.320,-0.020,0.941,4.053,0.005,1.568,0.851,3.928,0.022,3.960,0.009,4.168,0.925,4.067,0.006,0.320,0.022,0.171,0.011,1.136,0.923,4.066,0.033,0.132,0.171,0.000,0.215,1.605,1.418,0.971,1.595,10.085,0.923,4.024,0.005,0.418,0.018,0.216,0.018,1.056,0.932,4.065,0.010,0.032,0.049,0.086,0.040,0.615,0.072,0.293,0.074,0.903
MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,zet_Cep,2025-07-20,MIRCX+MYSTIC,4151.000,0.770,0.070,1.033,5.238,0.013,5.063,0.845,5.053,0.017,5.125,0.016,13.674,1.009,5.253,0.011,0.315,0.034,0.174,0.027,7.443,1.002,5.259,0.082,0.091,0.157,0.095,0.220,2.324,1.341,1.038,1.314,379.688,1.002,5.201,0.011,0.383,0.034,0.220,0.047,5.014,1.013,5.229,0.016,0.037,0.195,0.123,0.094,0.560,0.278,0.175,0.100,5.575
MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,ups_Per,2025-07-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.127,3.619,0.004,3.582,0.964,3.480,0.008,3.536,0.009,7.084,1.099,3.625,0.005,0.293,0.021,0.163,0.011,2.461,1.103,3.698,0.017,0.045,0.003,0.074,0.014,5.200,0.421,2.868,0.571,1.339,1.099,3.590,0.004,0.363,0.013,0.205,0.011,2.565,1.111,3.602,0.010,-0.008,0.071,0.242,0.033,0.581,0.103,-0.012,0.073,1.667
MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,ups_Per,2025-07-22,MIRCX+MYSTIC,4374.000,2.060,0.050,0.926,3.612,0.004,4.352,0.834,3.493,0.012,3.518,0.007,7.494,0.915,3.616,0.009,0.288,0.025,0.162,0.017,2.849,0.907,3.577,0.041,0.507,0.620,1.495,1.788,0.530,1.026,0.160,0.667,2.685,0.910,3.580,0.008,0.356,0.027,0.194,0.018,3.366,0.914,3.601,0.010,0.095,0.078,0.148,0.044,0.418,0.091,0.143,0.055,2.626
MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,11_Lac,2025-07-25,MIRCX+MYSTIC,4310.000,1.930,-0.200,0.985,2.644,0.002,1.546,0.932,2.544,0.008,2.554,0.002,2.585,0.975,2.634,0.009,0.252,0.029,0.150,0.021,1.202,0.953,2.625,1.029,-0.004,43892.054,-0.693,13032.170,2.158,1031.828,1.426,76.393,217.782,0.967,2.606,0.009,0.306,0.035,0.170,0.024,1.256,0.981,2.660,0.008,0.012,0.040,-0.043,0.059,0.679,0.047,0.562,0.103,1.039
MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,alf_Cas,2025-07-20,MIRCX+MYSTIC,4625.000,1.190,-0.100,1.109,5.634,0.004,9.658,0.927,5.494,0.013,5.561,0.008,15.190,1.097,5.681,0.010,0.264,0.027,0.197,0.022,11.680,1.062,5.603,0.013,-0.231,0.000,2.348,0.867,0.595,0.000,0.166,0.020,81.493,1.087,5.628,0.006,0.331,0.051,0.258,0.015,10.738,1.082,5.621,0.011,-0.069,0.067,0.327,0.053,0.558,0.091,-0.103,0.082,7.554
