oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,zet_Cep,2025-07-20,MIRCX+MYSTIC,4151.000,0.770,0.070,1.052,5.234,0.011,6.655,0.870,5.057,0.011,5.137,0.007,11.799,1.029,5.249,0.012,0.311,0.037,0.158,0.018,5.683,1.019,5.277,0.056,0.090,0.018,0.095,0.091,2.965,0.837,1.149,1.102,5.214,1.016,5.200,0.007,0.402,0.039,0.202,0.028,5.996,1.030,5.228,0.015,0.067,0.187,0.113,0.074,0.483,0.237,0.212,0.098,5.830
MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,ups_Per,2025-07-20,MIRCX+MYSTIC,4374.000,2.060,0.050,1.137,3.619,0.002,3.612,0.974,3.479,0.012,3.536,0.008,8.333,1.113,3.626,0.006,0.279,0.018,0.166,0.013,2.916,1.112,3.704,0.016,0.041,0.002,0.064,0.011,5.588,0.280,3.145,0.462,1.460,1.110,3.592,0.004,0.341,0.024,0.211,0.013,2.587,1.116,3.595,0.010,-0.016,0.067,0.246,0.038,0.558,0.128,-0.047,0.085,1.899
MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,ups_Per,2025-07-22,MIRCX+MYSTIC,4374.000,2.060,0.050,0.933,3.616,0.002,3.819,0.830,3.507,0.009,3.523,0.009,5.149,0.912,3.614,0.008,0.261,0.023,0.157,0.016,3.130,0.903,3.710,0.067,0.060,0.020,0.043,0.031,4.312,1.764,4.402,2.218,3.102,0.912,3.577,0.008,0.317,0.042,0.185,0.018,3.700,0.915,3.603,0.011,0.079,0.076,0.114,0.028,0.420,0.114,0.201,0.057,2.791
MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,11_Lac,2025-07-25,MIRCX+MYSTIC,4310.000,1.930,-0.200,0.985,2.645,0.002,1.071,0.926,2.551,0.006,2.554,0.002,2.572,0.976,2.639,0.007,0.236,0.022,0.159,0.014,0.961,0.973,2.620,1.050,-0.147,1.784,-0.326,67662.409,1.481,9.341,1.074,1276.583,224.449,0.974,2.611,0.007,0.290,0.024,0.188,0.023,1.043,0.982,2.665,0.009,0.005,0.038,-0.076,0.067,0.687,0.058,0.648,0.099,1.028
MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,alf_Cas,2025-07-20,MIRCX+MYSTIC,4625.000,1.190,-0.100,1.124,5.642,0.004,11.521,0.933,5.510,0.007,5.569,0.007,15.043,1.089,5.672,0.011,0.239,0.030,0.157,0.018,4.609,1.083,5.638,0.023,-0.119,0.000,0.651,0.500,0.550,0.000,0.306,0.116,55.650,1.089,5.623,0.006,0.319,0.036,0.217,0.017,4.971,1.089,5.633,0.013,-0.139,0.065,0.199,0.044,0.632,0.102,0.024,0.077,7.486
MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,HD_220369,2025-07-25,MIRCX+MYSTIC,4131.000,1.240,0.110,0.980,2.549,0.001,0.928,0.929,2.450,0.007,2.464,0.002,1.672,0.966,2.542,0.010,0.256,0.022,0.150,0.024,0.724,0.962,2.540,1.141,-0.005,0.547,-0.553,199.878,1.751,5.516,1.427,476.401,308.631,0.965,2.518,0.006,0.317,0.021,0.183,0.019,0.747,0.968,2.560,0.011,0.031,0.031,0.018,0.061,0.638,0.070,0.443,0.063,0.535
MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,109_Her,2025-06-05,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.027,2.998,0.004,1.637,0.872,2.900,0.007,2.934,0.007,4.823,1.035,3.021,0.006,0.328,0.029,0.193,0.017,0.999,0.994,3.010,0.057,0.207,0.199,0.056,0.560,1.353,1.086,0.888,1.791,134.622,1.033,2.987,0.006,0.403,0.046,0.236,0.018,0.915,1.041,3.038,0.012,0.067,0.070,0.075,0.060,0.678,0.112,0.437,0.139,0.726
MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,alf_Vul,2025-06-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.153,4.341,0.005,2.296,1.018,4.204,0.014,4.268,0.005,4.254,1.110,4.338,0.005,0.279,0.021,0.121,0.015,1.218,1.109,4.286,0.010,0.747,0.399,3.281,0.883,0.393,0.177,0.118,0.014,0.978,1.111,4.302,0.007,0.368,0.022,0.166,0.028,1.271,1.117,4.311,0.006,0.186,0.097,0.178,0.025,0.273,0.103,0.017,0.039,1.523
MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,alf_Per,2025-07-25,MIRCX+MYSTIC,6193.000,1.020,0.140,1.044,3.212,0.002,1.050,0.982,3.144,0.005,3.164,0.005,2.400,1.038,3.237,0.003,0.222,0.014,0.117,0.006,0.854,1.036,3.230,0.054,-0.036,0.309,0.017,0.497,1.465,2.945,0.727,2.208,76.617,1.037,3.207,0.003,0.283,0.015,0.143,0.007,1.057,1.041,3.233,0.011,0.113,0.069,0.035,0.051,0.328,0.095,0.269,0.126,1.051
MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,alf_Per,2025-08-27,MIRCX+MYSTIC,6193.000,1.020,0.140,1.019,3.212,0.005,3.065,0.940,3.134,0.010,3.160,0.004,4.642,0.994,3.217,0.007,0.187,0.018,0.080,0.013,3.086,0.932,3.159,0.026,3.608,17.553,374454.585,1505215.062,0.134,0.027,-3.051,55065.075,246.462,0.998,3.193,0.005,0.270,0.026,0.108,0.019,2.440,0.998,3.205,0.008,0.185,0.048,0.039,0.018,0.155,0.033,0.150,0.027,1.797
