target,target_norm,hd,date,oifits_h,oifits_k,teff,logg,feh,theta_init,mass,alpha_svam_H_Stagger,alpha_svam_H_Stagger_err,alpha_svam_K_Stagger,alpha_svam_K_Stagger_err,p1_svam_H_Stagger,p1_svam_H_Stagger_err,p1_svam_K_Stagger,p1_svam_K_Stagger_err,alpha1_svam_H_Stagger,alpha1_svam_H_Stagger_err,alpha1_svam_K_Stagger,alpha1_svam_K_Stagger_err,alpha_svam_H_Kurucz,alpha_svam_H_Kurucz_err,alpha_svam_K_Kurucz,alpha_svam_K_Kurucz_err,p1_svam_H_Kurucz,p1_svam_H_Kurucz_err,p1_svam_K_Kurucz,p1_svam_K_Kurucz_err,alpha1_svam_H_Kurucz,alpha1_svam_H_Kurucz_err,alpha1_svam_K_Kurucz,alpha1_svam_K_Kurucz_err,alpha_svam_H_MPS1,alpha_svam_H_MPS1_err,alpha_svam_K_MPS1,alpha_svam_K_MPS1_err,p1_svam_H_MPS1,p1_svam_H_MPS1_err,p1_svam_K_MPS1,p1_svam_K_MPS1_err,alpha1_svam_H_MPS1,alpha1_svam_H_MPS1_err,alpha1_svam_K_MPS1,alpha1_svam_K_MPS1_err,alpha_svam_H_MPS2,alpha_svam_H_MPS2_err,alpha_svam_K_MPS2,alpha_svam_K_MPS2_err,p1_svam_H_MPS2,p1_svam_H_MPS2_err,p1_svam_K_MPS2,p1_svam_K_MPS2_err,alpha1_svam_H_MPS2,alpha1_svam_H_MPS2_err,alpha1_svam_K_MPS2,alpha1_svam_K_MPS2_err,alpha_svam_H_satlasross,alpha_svam_H_satlasross_err,alpha_svam_K_satlasross,alpha_svam_K_satlasross_err,p1_svam_H_satlasross,p1_svam_H_satlasross_err,p1_svam_K_satlasross,p1_svam_K_satlasross_err,alpha1_svam_H_satlasross,alpha1_svam_H_satlasross_err,alpha1_svam_K_satlasross,alpha1_svam_K_satlasross_err
eps_Leo,eps_leo,,2026-04-04,MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5576.0,2.34,-0.09,,3.71,0.15691612605945374,0.0005149533460303183,0.13138556894071143,0.000378445546474951,0.9988631995414893,,0.9115439052082646,,0.1552258034634573,,0.1462281751354169,,0.17029256029196593,0.0005161084377036018,0.14653764672903144,0.0003792060665821157,0.9999999965205995,,0.9080261680367288,,0.1682177093220241,,0.16383254520381776,,0.16016302231826582,0.0004970379415590021,0.13432235387666808,0.00036536183676085226,0.9999994351366437,,0.9381937487962547,,0.1588304161900085,,0.14461735424804806,,0.1626442621553798,0.000496658467880878,0.13609062037997338,0.0003649929210363219,0.9999966305571466,,0.936948498360852,,0.16127487116327285,,0.1467421583587066,,0.1881363527202376,0.0005154405211304009,0.16137586019732983,0.0003789686431226238,0.9986744338362328,,0.8939139181948772,,0.18585772325880617,,0.18365015484270833,
eps_Tau,eps_tau,,2025-09-07,MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,4921.0,2.47,0.14,,2.458,0.19094507719452583,0.00035989831586103957,0.15302835214977237,0.000276173012718022,1.0,,0.9138347098656285,,0.18923880201509338,,0.16986112580541146,,0.2033361803689246,0.0003832833231845482,0.17067653688516016,0.00029348741830678975,0.9999986525635768,,0.8708830992205757,,0.20060120889347655,,0.20034826210257003,,0.21002375484217997,0.0003652819917369715,0.1684198660254123,0.00027906796731600445,0.999999999999992,,0.902603072738379,,0.20796666041794237,,0.18963893398396095,,0.21046375123061015,0.0003651741998921316,0.16941362834261908,0.0002789728359364035,0.9999999849840335,,0.902345077636951,,0.208394157225172,,0.19082120714211634,,0.22334828866984893,0.0003636999823882846,0.18373544075686027,0.00027811184656999785,0.8192196320887836,,0.7055760708269919,,0.27209560871925076,,0.2673928156503552,
eta_Boo,eta_boo,,2026-04-04,MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5901.0,3.78,0.25,,1.71,0.14721847937388574,0.0003625498237757598,0.12349417223028887,0.0003113384246870502,1.0,,0.9219966847979055,,0.14662516703715872,,0.13690242605747988,,0.1538589430025259,0.00036390639921513734,0.13352614053150208,0.0003133572405766129,0.9999904700103406,,0.9158507354492599,,0.15320490306351467,,0.1492047189820079,,0.15611544444571565,0.00035799411126413483,0.13202745576547942,0.0003080735811714824,0.979882061453554,,0.9163844014914301,,0.15885675418223522,,0.14658637926748974,,0.15894178470274697,0.00035762601041909787,0.13382737344055884,0.00030751749209779463,0.9562752585591023,,0.8945326158565265,,0.16581384070059021,,0.15211691235506272,,0.18331819446819503,0.00037694290055701016,0.15606555711358197,0.00032540525695580756,0.9854763535798864,,0.8787926448722163,,0.18513063958171863,,0.18275239393455947,
eta_Cyg,eta_cyg,,2026-04-04,MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4770.0,2.64,0.02,,0.9,0.19292799793993498,0.00041807785740256034,0.15445462821328584,0.000406431882845058,0.9270415943371766,,0.8403582167830824,,0.20800406679877895,,0.18805018433991083,,0.2158040518746485,0.00042224775769185376,0.17969382366018946,0.00041120320733858577,0.9404466153377808,,0.8214124578293099,,0.2291183681207489,,0.22607170395723314,,0.21505377689558391,0.0004136539416260162,0.17184568752720056,0.00040160192163256385,0.9100095926659513,,0.8097113696990464,,0.23639716850129847,,0.21807611136963936,,0.215387546965244,0.0004132477427666776,0.17256548870649752,0.0004012642370576929,0.90244377108235,,0.8031686609022466,,0.23883687951189805,,0.2207515927150993,,0.23022624219155027,0.0004140269803352136,0.18795508277810913,0.00040239738648521306,0.864751220159926,,0.7585619377692048,,0.26699284708654025,,0.2556692571075166,
eta_Her,eta_her,,2025-06-05,MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,4994.0,2.53,-0.22,,2.0,0.19181833573853277,0.00023786287883295528,0.15374984207786838,0.00020570118741158525,0.9999999987702448,,0.9232514248542556,,0.1905575411921903,,0.16875414503099695,,0.19617048984871702,0.00024679938067616547,0.1651383563321097,0.00021325234171370408,0.9996788205160916,,0.8892975377147421,,0.19435548085055387,,0.18936295580244225,,0.1957579450110294,0.0002379708109018203,0.1588917508258635,0.00020550024281756703,1.0,,0.919340885353555,,0.19441358449697754,,0.17526656789181516,,0.19694184458108396,0.00023796699801337853,0.16041710252971547,0.0002054138989480883,0.9968924630652224,,0.9161029681809125,,0.19621262250769875,,0.17758189219688125,,0.21837220697999649,0.00024081172640808552,0.18057723862159195,0.0002068685587313423,0.7167044090769015,,0.6012061032363082,,0.30694554633203536,,0.3118036579385668,
eta_Ser,eta_ser,,2026-05-01,MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,4948.0,3.18,-0.19,,1.6,0.18984150161500582,0.0005567729549580037,0.15332319809548747,0.0004914109243833632,0.9999980585169855,,0.9117405432610063,,0.1877101896422497,,0.17046841832841403,,0.1943495429363329,0.0005649874782384528,0.16358048644151293,0.0004999112630262527,0.9999991888490871,,0.8896360136260174,,0.19157385881092573,,0.18707674058982163,,0.1971739215907096,0.0005533100694535575,0.15989059057363672,0.0004890251194700287,0.999999228151573,,0.9150717464645153,,0.1950637041154149,,0.17702391061312683,,0.19833207866371633,0.0005526255940984174,0.16124297115378758,0.0004885213043503015,0.9999991687913029,,0.9160131904155209,,0.1962345998186927,,0.17830972349971896,,0.22233665979715106,0.0005630867290094193,0.18343483198783733,0.0005010994632311328,0.9181187671241491,,0.8051946963797748,,0.23958652233861272,,0.2324952496339941,
gam_Cep,gam_cep,,2025-06-04,MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,4684.0,3.2,0.15,,1.27,0.2324608850052426,0.00032749765026508434,0.18254219696126397,0.00029370448221913186,0.9999981964324168,,0.9305480301337845,,0.23044861562963087,,0.19802827084028943,,0.2198497831241954,0.000351633160843253,0.1818928102815217,0.000316696807773313,0.999999764188927,,0.8869374150897964,,0.21658997089289977,,0.2083762596780094,,0.2265792056281029,0.0003313796339705326,0.18033877333563247,0.0002977189944838211,0.9999990500920691,,0.9207388854995323,,0.22430648277062049,,0.19800210019161363,,0.22674106735199126,0.0003317392870224085,0.18099389236492588,0.0002982381367976799,0.9999986741522302,,0.919376644616785,,0.2244239173348284,,0.19905611988168065,,0.2349931091699567,0.0003417218566954003,0.19212530774999007,0.00030699337172238164,0.9749560461538602,,0.8734774189580692,,0.23814113925586025,,0.2232579928114233,
gam_Tau,gam_tau,,2025-09-07,MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,5124.0,2.63,0.12,,2.7,0.19244816589143796,0.00028374400511062937,0.15414408968138307,0.00022289449460966544,0.9986290013840471,,0.9220703794622463,,0.19186257948401456,,0.16996570729466798,,0.2043443980464352,0.0003019945149580852,0.17141307142994242,0.0002373463476572281,0.9971358760080986,,0.8792068551083628,,0.20354705863188788,,0.20013155818893033,,0.19640938928848084,0.00028674109180351626,0.15973502603903153,0.0002252683928024078,0.9863954967532429,,0.8989850424634979,,0.19818295227052607,,0.18110901480133654,,0.1970922524840197,0.00028638227715863405,0.16092529171413186,0.0002249353223741258,0.9722841347487912,,0.8850530550488357,,0.2018394432492319,,0.1853416864314632,,0.21453316950968182,0.000292741328995598,0.17870712277693754,0.0002302549136504999,0.6721907349494017,,0.5515384863571577,,0.3235619973251583,,0.340546478896073,
HD_220369,hd_220369,,2025-07-25,MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,4131.0,1.24,0.11,,1.5,0.27396742155297976,0.00025488385048628206,0.20126475097654087,0.0002065629719288597,0.9842099634933535,,0.9374378941749745,,0.27767849693304747,,0.2165645948396066,,0.24957485746174718,0.00027815537222568006,0.20046410798460898,0.00022729118040569268,0.9984450657989594,,0.8858754147937015,,0.24780772238370613,,0.23145083368095262,,0.26828718171407806,0.00026211408375598536,0.20685844171446202,0.00021365536043435208,0.983082695233545,,0.9078643796145524,,0.2716198553626374,,0.23124967354959144,,0.2676200399608284,0.00026297579401244643,0.2067634716790155,0.00021427499482380236,0.9858089837130732,,0.9087642546062007,,0.2701163886159224,,0.23100100886640146,,0.28181095141033524,0.00025816226259814227,0.21606452254084066,0.0002103478392251594,0.7079444083808374,,0.5896443781802481,,0.4055537647538635,,0.38220776077343793,
iot_Cep,iot_cep,,2025-06-04,MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,4779.0,2.61,0.01,,2.15,0.1934653967522113,0.0002718330093371841,0.15450048476606298,0.00021843542725901759,1.0,,0.9431245881325384,,0.1927663111786314,,0.1657468880123858,,0.21665839314498755,0.0002924592429769171,0.18000574716058074,0.0002340268643623457,0.9999994315536237,,0.9032661235052329,,0.21535246813323866,,0.20337070124750953,,0.215699663785245,0.0002760052019112179,0.1719377017672915,0.00022056772706994344,0.9997551425050083,,0.929836811053666,,0.21482642865939114,,0.18759779093982873,,0.21603680853788199,0.0002751003854643563,0.1726754164577827,0.00021988983152966952,0.9999999999999989,,0.9315988667243664,,0.21513215796097285,,0.18798325637638574,,0.23096873447021024,0.00027890585783898683,0.1879059610321705,0.0002228685037725685,0.7604864694495679,,0.6585643789543275,,0.3060918297757516,,0.2943734200389102,
