oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRC_L2.2026Apr04.109_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.109_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,109_Her,2026-04-04,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.044,3.004,0.003,2.655,0.914,2.935,0.024,2.914,0.005,9.959,1.038,3.016,0.009,0.311,0.032,0.190,0.018,2.501,1.044,3.019,0.049,0.000,0.635,0.087,0.093,0.974,1.625,1.575,2.192,1.738,1.033,2.983,0.006,0.378,0.023,0.218,0.015,1.587,1.034,3.026,0.010,0.290,0.023,-0.075,0.038,0.242,0.031,0.632,0.074,1.481
MIRC_L2.2026Apr04.alf_Vul.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_Vul.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,alf_Vul,2026-04-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.064,4.343,0.002,2.443,0.873,4.258,0.035,4.260,0.006,13.374,1.038,4.364,0.007,0.299,0.013,0.205,0.018,2.789,1.041,4.385,0.092,0.085,0.260,0.071,0.155,1.867,1.700,1.418,2.151,87.760,1.039,4.321,0.006,0.390,0.018,0.263,0.028,2.310,1.042,4.352,0.011,0.181,0.067,0.101,0.074,0.332,0.080,0.307,0.096,1.966
MIRC_L2.2026Apr04.del_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.del_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,del_Boo,2026-04-04,MIRCX+MYSTIC,4880.000,2.480,-0.360,1.120,2.765,0.002,2.218,0.983,2.684,0.007,2.693,0.003,4.490,1.100,2.777,0.006,0.224,0.015,0.160,0.013,1.795,1.093,2.753,0.026,0.000,0.319,0.354,3.092,0.820,0.668,0.245,0.258,378.137,1.098,2.750,0.004,0.284,0.015,0.193,0.013,1.211,1.105,2.778,0.007,0.043,0.025,0.106,0.019,0.472,0.045,0.244,0.036,1.339
MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Leo,2026-04-04,MIRCX+MYSTIC,5576.000,2.340,-0.090,1.166,2.678,0.002,1.465,1.038,2.611,0.003,2.618,0.003,2.138,1.118,2.674,0.005,0.153,0.015,0.099,0.012,1.084,1.122,2.655,0.019,0.055,0.199,0.210,8.404,0.706,0.746,0.100,0.209,312.500,1.118,2.651,0.005,0.202,0.015,0.125,0.012,0.895,1.131,2.681,0.006,-0.049,0.019,0.003,0.036,0.499,0.029,0.329,0.054,0.439
MIRC_L2.2026Apr04.eps_Vir.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Vir.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eps_Vir,2026-04-04,MIRCX+MYSTIC,5190.000,1.860,0.000,1.092,3.243,0.002,1.421,0.973,3.179,0.004,3.161,0.008,4.925,1.062,3.239,0.006,0.143,0.014,0.131,0.014,2.281,1.059,3.230,0.034,-0.006,0.319,0.000,0.641,0.665,1.463,0.402,0.625,136.529,1.059,3.209,0.005,0.175,0.021,0.166,0.016,2.321,1.072,3.240,0.011,-0.048,0.085,0.104,0.059,0.407,0.139,0.216,0.113,1.843
MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Boo,2026-04-04,MIRCX+MYSTIC,5901.000,3.780,0.250,1.032,2.243,0.002,2.910,1.109,2.193,0.010,3.895,0.021,120.142,1.014,2.232,0.005,0.161,0.018,0.110,0.014,1.849,0.989,2.218,0.158,-0.304,0.583,-0.014,0.043,1.548,7.585,3.105,11.172,324.578,0.952,3.111,0.018,1.790,0.019,1.765,0.027,25.072,1.011,2.231,0.010,0.091,0.030,-0.155,0.045,0.279,0.094,0.575,0.039,1.530
MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,eta_Cyg,2026-04-04,MIRCX+MYSTIC,4770.000,2.640,0.020,0.998,2.289,0.001,1.972,0.901,2.204,0.005,2.218,0.001,9.347,1.003,2.306,0.006,0.270,0.017,0.190,0.016,1.784,0.987,2.296,0.949,-0.245,1.155,-0.003,2.661,0.348,10.411,3.059,33.307,264.931,0.999,2.279,0.005,0.316,0.020,0.220,0.019,0.960,0.996,2.307,0.008,0.176,0.029,-0.104,0.036,0.354,0.081,0.650,0.027,1.607
MIRC_L2.2026Apr04.lam_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.lam_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,lam_Her,2026-04-04,MIRCX+MYSTIC,4070.000,1.890,-0.040,1.063,3.120,0.002,1.143,0.885,3.016,0.022,3.025,0.010,12.509,1.046,3.126,0.005,0.286,0.015,0.185,0.010,1.198,1.044,3.136,0.018,0.000,0.323,0.085,0.093,1.258,1.313,1.401,1.074,1.353,1.043,3.093,0.004,0.353,0.016,0.223,0.011,0.996,1.052,3.141,0.009,0.193,0.032,-0.012,0.027,0.397,0.065,0.545,0.069,0.892
MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,mu._Leo,2026-04-04,MIRCX+MYSTIC,4433.000,2.500,0.250,1.071,2.858,0.002,1.363,0.904,2.771,0.006,2.784,0.006,4.866,1.042,2.865,0.004,0.258,0.015,0.167,0.011,0.741,1.040,2.839,0.024,0.519,0.582,0.493,0.767,0.436,0.504,0.247,0.453,0.889,1.036,2.836,0.004,0.323,0.014,0.199,0.013,0.563,1.046,2.860,0.004,0.162,0.036,0.100,0.018,0.322,0.046,0.259,0.040,0.615
MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,ups_Aur,2025-08-27,MIRCX+MYSTIC,3912.000,1.160,-0.230,1.100,4.303,0.004,2.304,0.973,4.134,0.026,4.225,0.009,7.884,1.086,4.326,0.007,0.315,0.013,0.180,0.019,2.197,1.080,4.278,0.012,0.894,0.310,1.156,0.670,0.423,0.131,0.202,0.140,1.562,1.079,4.281,0.007,0.390,0.011,0.225,0.018,1.562,1.084,4.302,0.007,0.253,0.063,0.142,0.033,0.247,0.088,0.164,0.052,1.718
