oifits_h,oifits_k,target,date,instrument,teff,logg,feh,v2_0_SATLAS,theta_CLV_SATLAS,theta_CLV_SATLAS_err,chi2_red_SATLAS,v2_0_ud,theta_ud_H,theta_ud_H_err,theta_ud_K,theta_ud_K_err,chi2_red_ud,v2_0_PL,theta_PL,theta_PL_err,alpha_chara_H,alpha_chara_H_err,alpha_chara_K,alpha_chara_K_err,chi2_red_PL,v2_0_power2,theta_power2,theta_power2_err,alpha1_chara_H,alpha1_chara_H_err,alpha1_chara_K,alpha1_chara_K_err,p1_chara_H,p1_chara_H_err,p1_chara_K,p1_chara_K_err,chi2_red_power2,v2_0_linear,theta_linear,theta_linear_err,a_chara_H,a_chara_H_err,a_chara_K,a_chara_K_err,chi2_red_linear,v2_0_quadratic,theta_quadratic,theta_quadratic_err,u1_chara_H,u1_chara_H_err,u1_chara_K,u1_chara_K_err,u2_chara_H,u2_chara_H_err,u2_chara_K,u2_chara_K_err,chi2_red_quadratic
MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,11_Lac,2025-07-25,MIRCX+MYSTIC,4310.000,1.930,-0.200,0.990,2.643,0.002,1.459,0.932,2.543,0.006,2.553,0.001,2.467,0.976,2.641,0.010,0.268,0.037,0.164,0.022,1.122,0.965,2.630,1.065,-0.183,1.133,-0.450,73076.209,2.601,8.498,3.928,824.138,227.328,0.977,2.615,0.007,0.338,0.032,0.202,0.023,1.360,0.978,2.663,0.010,0.030,0.049,-0.049,0.061,0.665,0.052,0.623,0.092,1.135
MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,alf_Cas,2025-07-20,MIRCX+MYSTIC,4625.000,1.190,-0.100,1.107,5.638,0.003,9.794,0.935,5.494,0.016,5.567,0.005,7.640,1.093,5.681,0.010,0.285,0.024,0.180,0.016,7.434,1.091,5.644,0.020,0.113,0.014,0.699,0.378,1.883,0.306,0.316,0.130,8.466,1.082,5.628,0.007,0.371,0.041,0.240,0.021,9.206,1.087,5.639,0.013,-0.041,0.059,0.212,0.029,0.597,0.109,0.064,0.068,11.629
MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,HD_220369,2025-07-25,MIRCX+MYSTIC,4131.000,1.240,0.110,0.975,2.548,0.001,0.911,0.926,2.450,0.012,2.464,0.002,1.438,0.964,2.549,0.009,0.295,0.019,0.167,0.020,0.567,0.956,2.546,1.077,-0.058,7160.032,-0.006,10.946,2.405,211.595,0.772,32.790,265.026,0.966,2.522,0.008,0.358,0.023,0.200,0.022,0.724,0.965,2.559,0.012,0.130,0.033,-0.006,0.041,0.523,0.075,0.508,0.053,0.710
MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,109_Her,2025-06-05,MIRCX+MYSTIC,4387.000,2.240,-0.060,1.019,2.997,0.003,1.764,0.878,2.899,0.010,2.934,0.009,5.963,1.043,3.029,0.005,0.365,0.019,0.217,0.020,1.192,0.984,3.000,0.067,0.000,0.322,-0.025,0.573,1.221,1.786,1.447,4.506,0.858,1.035,2.992,0.005,0.446,0.037,0.246,0.022,1.069,1.041,3.043,0.014,0.146,0.060,0.101,0.045,0.606,0.129,0.435,0.127,0.797
MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,alf_Vul,2025-06-04,MIRCX+MYSTIC,3690.000,1.300,-0.380,1.148,4.338,0.007,1.504,1.020,4.179,0.030,4.267,0.004,3.720,1.113,4.349,0.009,0.346,0.018,0.144,0.015,1.256,1.102,4.287,0.011,0.896,0.297,3.158,0.920,0.414,0.097,0.129,0.015,1.124,1.106,4.307,0.006,0.436,0.016,0.186,0.017,1.246,1.112,4.315,0.011,0.281,0.053,0.187,0.024,0.243,0.042,0.028,0.045,1.114
MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,alf_Per,2025-07-25,MIRCX+MYSTIC,6193.000,1.020,0.140,1.043,3.209,0.002,1.260,0.993,3.149,0.006,3.166,0.006,2.493,1.039,3.238,0.003,0.234,0.015,0.126,0.007,0.821,1.034,3.230,0.045,0.000,0.456,-0.124,0.479,1.041,1.679,0.835,1.618,262.569,1.037,3.208,0.003,0.302,0.014,0.152,0.008,0.945,1.041,3.238,0.009,0.124,0.056,0.026,0.045,0.354,0.088,0.309,0.098,0.900
MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,alf_Per,2025-08-27,MIRCX+MYSTIC,6193.000,1.020,0.140,1.029,3.212,0.003,3.295,0.951,3.141,0.006,3.161,0.003,5.152,1.006,3.223,0.005,0.210,0.018,0.097,0.011,3.076,0.935,3.143,0.022,4.224,4.380,109262.323,617272.846,0.115,0.033,3.107,100.478,3.383,1.005,3.197,0.005,0.281,0.019,0.121,0.015,3.004,1.011,3.214,0.006,0.158,0.062,0.065,0.020,0.224,0.080,0.152,0.023,2.406
MIRCX_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul25.AVG15m.oifits,bet_Dra,2025-07-20,MIRCX+MYSTIC,5184.000,1.660,0.060,1.068,3.368,0.003,3.513,0.970,3.241,0.008,3.283,0.004,4.691,1.047,3.364,0.009,0.258,0.030,0.136,0.017,3.212,1.029,3.310,0.021,-1.066,0.000,6.741,19.235,0.881,0.000,0.096,0.112,45.360,1.053,3.336,0.008,0.318,0.038,0.171,0.024,3.446,1.056,3.357,0.011,-0.056,0.075,0.136,0.018,0.652,0.102,0.124,0.034,2.474
MIRCX_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,bet_Dra,2025-06-05,MIRCX+MYSTIC,5184.000,1.660,0.060,1.071,3.359,0.003,2.788,0.973,3.256,0.013,3.287,0.005,5.730,1.054,3.363,0.010,0.308,0.030,0.131,0.018,3.406,1.045,3.303,0.093,2.000,1.333,11.713,2022.481,0.272,1.144,0.772,2.294,2.240,1.050,3.334,0.010,0.405,0.023,0.170,0.028,2.570,1.051,3.362,0.009,0.268,0.031,0.027,0.070,0.243,0.039,0.319,0.094,1.462
MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,eta_Her,2025-06-05,MIRCX+MYSTIC,4994.000,2.530,-0.220,1.168,2.524,0.004,1.881,1.071,2.426,0.009,2.461,0.001,3.721,1.164,2.534,0.005,0.283,0.016,0.146,0.012,1.192,1.162,2.528,0.042,0.000,0.174,0.000,1.542,1.289,2.275,0.455,1.053,307.247,1.163,2.510,0.006,0.344,0.021,0.174,0.019,1.245,1.172,2.546,0.008,0.045,0.026,0.069,0.037,0.657,0.010,0.331,0.095,1.041
MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,gam_Cep,2025-06-04,MIRCX+MYSTIC,4684.000,3.200,0.150,1.158,3.217,0.004,1.318,1.045,3.078,0.013,3.130,0.007,2.266,1.130,3.211,0.003,0.271,0.019,0.135,0.006,0.488,1.128,3.264,0.076,0.071,0.028,0.049,0.041,3.744,2.179,2.702,2.255,0.612,1.128,3.181,0.003,0.345,0.026,0.167,0.008,0.616,1.136,3.212,0.009,0.071,0.037,0.069,0.023,0.531,0.064,0.265,0.046,0.596
MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,iot_Cep,2025-06-04,MIRCX+MYSTIC,4779.000,2.610,0.010,1.124,2.853,0.003,0.919,1.030,2.761,0.007,2.775,0.006,1.771,1.103,2.853,0.007,0.236,0.015,0.136,0.017,0.761,1.106,2.896,0.051,0.069,0.039,0.090,0.158,3.290,1.986,1.630,1.707,47.718,1.095,2.822,0.007,0.285,0.024,0.164,0.023,0.742,1.111,2.866,0.009,0.011,0.021,0.113,0.027,0.596,0.070,0.234,0.013,0.563
