target,target_norm,hd,SpectralType,date,oifits_h,oifits_k,teff,logg,feh,theta_init,mass,cite_key,cite_key_target_specific,mass_reference_source
iot Gem,iot_gem,58207,G9IIIb,2025-09-09,MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4779.0,2.4,-0.1,2.334705,1.89,2008AJ....135..209M,Massarotti2008,Massarotti2008
HD 220369,hd_220369,220369,K3II,2025-07-25,MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,4131.0,1.24,0.11,2.607959,1.5,1999A&A...352..555A,AllendePrieto1999,AllendePrieto1999
eta Her,eta_her,150997,G7IIIFe-1,2025-06-05,MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,4994.0,2.53,-0.22,2.635572,2.01,2018AJ....155...30B,Baines2018,Baines2018
bet Dra,bet_dra,159181,G2Ib-IIa,2025-06-05,MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,5184.0,1.66,0.06,3.152847,6.0,2010AN....331..349H,betDra_Hohle2010,Hohle2010
109 Her,109_her,169414,K2III,2025-06-05,MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,4387.0,2.24,-0.06,2.763058,1.05,2008AJ....135..209M,Massarotti2008,Massarotti2008
alf Vul,alf_vul,183439,M0III,2025-06-04,MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,3690.0,1.3,-0.38,4.223285,0.97,1999A&A...352..555A,AllendePrieto1999,AllendePrieto1999
zet Cep,zet_cep,210745,K1.5Ib,2025-07-20,MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,4151.0,0.77,0.07,4.415356,10.1,2010AN....331..349H,zetCep_Hohle2010,Hohle2010
11 Lac,11_lac,214868,K2.5III,2025-07-25,MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4310.0,1.93,-0.2,2.391308,1.38,2008AJ....135..209M,Massarotti2008,Massarotti2008
iot Cep,iot_cep,216228,K0III,2025-06-04,MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,4779.0,2.61,0.01,2.67371,2.15,2008AJ....135..209M,Massarotti2008,Massarotti2008
V424 Lac,v424_lac,216946,K5Ib,2025-07-25,MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4013.0,0.32,-0.02,4.131925,6.8,2014A&A...566A.124L,Lee2014,Lee2014V424Lac
gam Cep,gam_cep,222404,K1III-IVCN1,2025-06-04,MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,4684.0,3.2,0.15,3.000335,1.27,2023A&A...675A.197K,gamCep_Knudstrup2023,Knudstrup2023
del Boo,del_boo,135722,G8IIIFe,2026-04-04,MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,4880.0,2.48,-0.36,2.7735,1.5,2008AJ....135..209M,Massarotti2008,Massarotti2008
lam Her,lam_her,158899,K3.5III,2026-04-04,MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,4070.0,1.89,-0.04,3.128,1.18,2008AJ....135..209M,Massarotti2008,Massarotti2008
rho Ser,rho_ser,141992,K4.5III,2026-05-01,MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,3920.0,1.68,-0.17,3.392,,,,
ksi Dra,ksi_dra,163588,K2III,2026-03-23,MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,4504.0,2.31,-0.01,3.280252,1.45,2008AJ....135..209M,Massarotti2008,Massarotti2008
alf CMi,alf_cmi,61421,F5IV-V+DQZ,2026-04-04,MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,6570.0,4.04,-0.04,5.665395,1.478,2015ApJ...813..106B,alfCMi_Bond2015,Bond2015
eps Leo,eps_leo,84441,G1II,2026-04-04,MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5576.0,2.34,-0.09,2.656748,3.71,2008AJ....135..209M,Massarotti2008,Massarotti2008
eta Boo,eta_boo,121370,G0IV,2026-04-04,MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,5901.0,3.78,0.25,2.234,1.71,2005ApJ...635..547G,etaBoo_Guenther2005,Guenther2005
eta Cyg,eta_cyg,188947,K0III,2026-04-04,MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4770.0,2.64,0.02,2.304,0.9,1999A&A...352..555A,AllendePrieto1999,AllendePrieto1999
mu. Leo,mu_leo,85503,K2IIIb_CN1_Ca1,2026-04-04,MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4433.0,2.5,0.25,2.815246,1.5,2014A&A...566A..67L,Lee2014,Lee2014muLeo
eta Ser,eta_ser,168723,K0III-IV,2026-05-01,MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,4948.0,3.18,-0.19,2.985,1.6,2008AJ....135..209M,Massarotti2008,Massarotti2008
